make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
HYUNDAI CONSTRUCTION CO.,R 160 LC-7 EXACAVATOR,1,1,1,303,10077,0
HYUNDAI CONSTRUCTION CO.,ROBEX R 80-7 EXCAVATOR,2000,2,2,303,12902,1
INGERSOLL RAND,SD 150 D,2000,2,2,323,10316,1
HYUNDAI CONSTRUCTION CO.,ROBEX-55W-7,2000,1,1,303,8623,1
INDO FARM TRACTORS & MOTORS,3065 DI,2000,1,1,320,8844,1
INDO FARM TRACTORS & MOTORS,3055 DI TRACTOR,2000,1,1,320,13112,1
INDO FARM TRACTORS & MOTORS,3030 DI,3400,1,1,320,10466,1
INDO FARM TRACTORS & MOTORS,INDO FARM 2040 DI,2000,1,1,320,4866,1
INTERNATIONALTRACTORS LTD.,INTERNATIONAL B 275,1,1,1,324,11566,1
INGERSOLL RAND,HD-10,2000,2,2,323,8236,1
INDO FARM INDUSTRIES LTD,3065 WHEEL LOADER,1,1,1,,14258,1
INDITAL,CS 150,1,2,2,322,14231,1
INDO FARM TRACTORS & MOTORS,INDO POWER 12 CRANE,2000,1,1,320,13087,1
INDO FARM INDUSTRIES LTD,INDO POWER 14 CRANE,2000,1,1,,14021,0
INGERSOLL RAND,SD 110 COMPACTOR,2000,2,2,323,8172,1
MAHINDRA & MAHINDRA,225 DI TRACTOR,2000,1,1,331,13574,1785
MAHINDRA & MAHINDRA (SWARAJ),735 FE,1,1,1,,15334,1
MAHINDRA & MAHINDRA,MAXXIMO AMBULANCES,1,6,6,331,16898,1
MAHINDRA & MAHINDRA,ARJUN 443,1,1,1,331,11881,0
MAHINDRA & MAHINDRA,575 DI SARPANCH,2000,1,1,331,6391,1
MAHINDRA & MAHINDRA,275 DI NST,2000,1,1,331,7017,6386
MAHINDRA & MAHINDRA,475 DI SARPANCH,2000,1,1,331,6388,1
MAHINDRA & MAHINDRA,475 NST,2000,1,1,331,6595,1
MAHINDRA & MAHINDRA (SWARAJ),724 XM,1,1,1,,16252,1
MAHINDRA & MAHINDRA,ARJUN 7575,1,1,1,331,12403,1
MAHINDRA & MAHINDRA,ARJUN 555 DI,2000,1,1,331,6395,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 30,2000,1,1,324,5260,1
INTERNATIONALTRACTORS LTD.,SONALIKA 735,2000,1,1,324,5428,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 750,2000,1,1,324,6375,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 730,2000,1,1,324,7035,1
INDO FARM TRACTORS & MOTORS,INDO FARM 3040 DI,2000,1,1,320,5888,1
INDO FARM TRACTORS & MOTORS,INDOFARM  3050 DI,2000,1,1,320,5908,1
INDO FARM TRACTORS & MOTORS,INDO FARM 2035 DI,2000,1,1,320,4865,1
HYSTER,H32,1,2,2,,12114,32000
MACNEILL ENGINEERING LTD,RANGER 1015 FORKLIFT,1,1,1,,12515,1500
MAHINDRA & MAHINDRA,BOLERO MAXX PICK UP,2000,4,4,331,11967,1
MAHINDRA & MAHINDRA,DI 3200 W AMBULANCE,2523,4,4,331,7739,1
INDITAL,FLT-12 FORKLIFT,2000,2,2,322,6908,1
INGERSOLL RAND,ISD 100 VIBRATORY COMPACTOR,5853,2,2,323,11733,1
IMT INTERNATIONAL,AF 130 DRILLING RIG,2000,2,2,321,6066,1
INDITAL,CS 320-5,2000,1,1,322,10254,1
MACONS ENGINEERS,MST-2 TRANSIT MIXER,1,2,2,384,15822,1
M S AGRO INDUSTRIES,985 HARVESTOR,2000,2,2,434,8524,1
MAHINDRA & MAHINDRA,MC 640,1,2,2,331,14465,1
MAHINDRA & MAHINDRA,BOLERO WITH SHOVELS,1,3,3,331,15520,1
MAHINDRA & MAHINDRA,ARJUN 605 WHEEL LOADER,1,2,2,331,15586,1
MAHINDRA & MAHINDRA,TRAVELLER AMBULANCE,1500,15,15,331,11439,0
MACK MOBILE CRANE,MACK MOBILE CRANE,2000,2,2,,10319,1
MAHINDRA & MAHINDRA,275 DI NBP,2000,1,1,331,7007,1810
MAHINDRA & MAHINDRA,265 DI,2000,1,1,331,7531,1
MAHINDRA & MAHINDRA,6565 TRACTORS,3532,1,1,331,16486,1
MAHINDRA & MAHINDRA (SWARAJ),855 FE,1,1,1,,15868,1
MAHINDRA & MAHINDRA (SWARAJ),735 XM,1,1,1,,15350,1
MAHINDRA & MAHINDRA,575 DI WHEEL LOADER,1,2,2,331,14429,1
HYUNDAI CONSTRUCTION CO.,R500 LC,5886,1,1,303,14225,1
HYUNDAI CONSTRUCTION CO.,45D 7 FORK LIFT TRUCK,2000,1,1,303,12861,1
GROVE,TMS 475 LP CRANE,1,1,1,374,13593,0
GODREJ & BOYCE MFG CO.,G 700 D FORK LIFT TRUCKS,1,1,1,316,12500,1
HYUNDAI CONSTRUCTION CO.,R300LC-7 EXCAVATOR,1,1,1,303,15023,1
HYUNDAI CONSTRUCTION CO.,25L 7 FORK LIFT TRUCK,2000,1,1,303,12858,1
GODREJ & BOYCE MFG CO.,GX 400 D,2000,1,1,316,12474,1
HYUNDAI CONSTRUCTION CO.,R 215 LC-7,1,1,1,303,16710,1
INTERNATIONALTRACTORS LTD.,12 T MOBILE CRANE,1,1,1,324,15331,1
IMT INTERNATIONAL,AF180C DRILLING RIGS,2000,2,2,321,4862,1
INGERSOLL RAND,HP 450 COMPRESSORS,1,1,1,323,16444,1
INTERNATIONALTRACTORS LTD.,14 T CRANE,1,1,1,324,16300,1
IBESA,ATS 3525,1,2,2,,15752,1
INDO FARM EQUIPEMENT LIMITED,POWER 14,1,1,1,,15982,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 741,2000,1,1,324,5335,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 755,2000,1,1,324,5244,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 760,2000,1,1,324,6664,1
OMEGA,PC 11000 CRANE,2000,2,2,337,5179,1
OMEGA,CPCD 30 A,2000,1,1,337,13447,4220
PREET AGRO INDUSTRIES,MANPREET 765 COMBINE HARVESTOR,2000,1,1,338,13054,1
PANESAR COMBINE,SC 514 HARVESTOR,1,1,1,,12430,1
PINQUELI,GC-845,1,2,2,,12096,1
PRIYAA CRANES,10 PC,2000,1,1,224,13401,0
MAXMECH EQUIPMENTS,MW 1031 VIBRATORY ROAD ROLLER,2000,2,2,230,9202,1
MAHINDRA & MAHINDRA,6565 ARJUN,1,1,1,331,16712,1
MAHINDRA & MAHINDRA (SWARAJ),841 TRACTORS,1,1,1,,16963,1
MAHINDRA & MAHINDRA,395 TURBO,1,1,1,331,16976,1
PREET AGRO INDUSTRIES,649 HARVESTOR,2000,2,2,338,9280,1
MAN,CLA 16.280 RUBBER REMOVAL,2800,6,6,436,13987,18000
MAHINDRA & MAHINDRA,BOLERO PLUS,2523,5,5,331,17285,1
MAHINDRA & MAHINDRA,MAX MAXI LADDER CARRIER,1,2,2,331,17002,2300
MAHINDRA & MAHINDRA,MAHINDRA 475,2000,1,1,331,5217,1
MAHINDRA & MAHINDRA,575 DI NST,2000,1,1,331,7533,1
MAHINDRA & MAHINDRA,MAHINDRA-575 DI,2000,1,1,331,11955,0
MAHINDRA & MAHINDRA (SWARAJ),724 WHEEL LOADER,1,1,1,,17414,1
MAHINDRA & MAHINDRA,MAHINDRA YUVRAJ,2000,1,1,331,4935,1
MAHINDRA & MAHINDRA,SHAAN,2000,1,1,331,6599,1
MAHINDRA & MAHINDRA,365 DI,1,1,1,331,10763,0
MAHINDRA & MAHINDRA,ARJUN 445 DI,2000,1,1,331,6394,1
MAHINDRA & MAHINDRA,295 DI,1,1,1,331,10741,0
GROVE,635 E,1,2,2,374,11758,0
GOTTWALD,AK 160,1,2,2,,12075,79700
GROVE,AT 880 CRANE,2000,1,1,374,12908,1
MERCEDES BENZ,2641 FIRE FIGHTER,2000,6,6,452,13039,1
GURU NAANK AGRI ENGG INDUSTRIES,NE 457 HARVESTOR,2000,2,2,267,13090,1
GROVE,TM 250,1,3,3,374,14130,1
GREAVES COTTON LTD.,BOMAG BW 212.,1,1,1,317,15467,1
GOTTWALD,AMK 146-63 CRANE,2000,1,1,,13358,0
MARUTI,OMNI CASH VAN,1,3,3,220,16024,1
MARUTI,EECO CASH VAN,1,2,2,220,16067,1
NEW HOLLAND,5500 HARVESTAR,1,2,2,335,10864,1
OMEGA,PC 16000 CRANE,2000,2,2,337,5058,1
N S AGRO WORKS,N S 929,3000,1,1,,10453,1
MAHINDRA & MAHINDRA,FJ 460 GENERATOR VAN,2112,2,2,331,13508,3930
MAHINDRA & MAHINDRA,BOLERO LX AMBULANCE,2523,6,6,331,13680,2580
MAHINDRA & MAHINDRA,MARSHAL CASH VAN,2523,5,5,331,17405,1
MAHINDRA & MAHINDRA,585 DI SARPANCH,2000,1,1,331,6392,1
MAHINDRA & MAHINDRA,YUVRAJ 215,1,1,1,331,14144,1
MAHINDRA & MAHINDRA,265 DI NST,2000,1,1,331,7015,1810
MAHINDRA & MAHINDRA,265 DI BHOOMIPUTRA,2000,1,1,331,6383,1810
MAHINDRA & MAHINDRA (SWARAJ),843 XM,1,1,1,,15335,1
MAHINDRA & MAHINDRA,595 DI,2000,1,1,331,6577,1
MAHINDRA & MAHINDRA,735 FE,2000,1,1,331,14160,1
MAHINDRA & MAHINDRA,MAHINDRA PICK UP,1,1,1,331,17352,1
MAHINDRA & MAHINDRA,255 DI,2000,1,1,331,6592,1810
MAHINDRA & MAHINDRA,275 DI SARPANCH,2000,1,1,331,6386,1810
MAHINDRA & MAHINDRA,475 DI NBP,2000,1,1,331,7019,1
MAHINDRA GUJARAT TRACTOR LTD,MG 405,2000,1,1,334,6401,1
MAHINDRA & MAHINDRA,MAXX BREAKDOWN VAN,2000,3,3,331,13048,1
MAHINDRA & MAHINDRA,605 ARJUN HARVESTORS,2000,2,2,331,7689,1
MAHINDRA & MAHINDRA,3/11 REFULLER,2000,2,2,331,10407,1
MAHINDRA & MAHINDRA,MAHINDRA MAX PICKUP CBC EURO-3 2WD COMPACTOR,2000,2,2,331,8047,1
MAHINDRA GUJARAT TRACTOR LTD,G 453 DLX,2000,1,1,334,7179,1
MAHINDRA GUJARAT TRACTOR LTD,MG 453,2000,1,1,334,6403,1
MAHINDRA GUJARAT TRACTOR LTD,S 55 TRACTOR,1,1,1,334,16064,1
MAHINDRA GUJARAT TRACTOR LTD,S 45,1,1,1,334,17058,1
MAHINDRA & MAHINDRA,GENIO DC,2950,5,5,331,17373,1
MARUTI,OMNI PUC VAN,1,2,2,220,14583,1
MARUTI,OMNI,796,8,7,220,15451,1
MAHINDRA & MAHINDRA (SWARAJ),834 XM,1,1,1,,15924,1
MAHINDRA & MAHINDRA (SWARAJ),744 FE,1,1,1,,15351,1
GROVE,RT 522 ROUGH TERRAIN CRANE,2000,2,2,374,6169,1
GODREJ & BOYCE MFG CO.,GX 500,1,2,2,316,11165,0
GROVE,TMS 180,476,3,3,374,11830,28000
GREAVES COTTON LTD.,BOMAG BW 151 ADH - 2,2000,2,2,317,6754,1
GROVE,GROVE TM 650 HYDRALIC CRANE,2000,2,2,374,5454,1
MAHINDRA CONSTRUCTION EQUIPMENTS,EARTHMASTER,1,1,1,,16475,1
GOTTWALD,106 CRANE,1,2,2,,14100,1
GOTTWALD,AK 150,1,2,2,,14089,1
GODREJ & BOYCE MFG CO.,GX 200 D,1,2,2,316,10713,1
MAHINDRA GUJARAT TRACTOR LTD,HWD 50 5A,2000,1,1,334,7182,1
MAHINDRA GUJARAT TRACTOR LTD,SHAKTIMAN,2000,1,1,334,7753,1
GROVE,TM 550 CRANE,1,2,2,374,12820,1
GROVE,TM 800,1,1,1,374,12162,1
GURU NAANK AGRI ENGG INDUSTRIES,785 HARVESTER,6538,1,1,267,13871,8500
MALKIT AGRO INDUSTRIES,MALKIT 997,1,2,2,,11701,1
GODREJ & BOYCE MFG CO.,25 TON FORK LIFT,1,1,1,316,17453,1
GENIE,Z45/25,1,1,1,,16764,1
GROVE,TM 1275,1,2,2,374,16728,1
GROVE,1400 CRANES,5853,1,1,374,16989,1
GODREJ & BOYCE MFG CO.,G 1600 D,1,2,2,316,12123,16000
GROVE,TM 1150 TELESCOPIC TRUCK CRANE,2000,2,2,374,6093,1
GODREJ & BOYCE MFG CO.,GX 150 D FORK LIFT,2000,2,2,316,5041,1
GODREJ & BOYCE MFG CO.,3 TON FORKLIFT TRUCK,1,1,1,316,16060,1
GROVE,TMS 5000,1,2,2,374,15985,1
GROVE,TM 2200,1,3,3,374,16121,1
GODREJ & BOYCE MFG CO.,GODREJ D20,1,1,1,316,15750,1
GEHL,SKID LOADER 4240E,1,1,1,,16181,1
GANGA SIFANG,GN 121  15  WITH ROTARY,1,1,1,,9188,0
GROVE,GMK 5130,1,2,2,374,16702,1
GUJARAT APOLLO EQUIPMENT LTD,AR 40,1,1,1,296,16975,1
MAHINDRA & MAHINDRA,MAXX PICK UP 2WD BS3 GARBAGE CARRIER,1,3,3,331,11486,0
MAHINDRA & MAHINDRA,950 BORING MACHINE,2523,2,2,331,13803,0
MAHINDRA GUJARAT TRACTOR LTD,S 453,1,1,1,334,11395,1
MAHINDRA GUJARAT TRACTOR LTD,SHAKTIMAAN 50,2697,1,1,334,17317,1
MAHINDRA GUJARAT TRACTOR LTD,S 35,2697,1,1,334,8166,1870
MAHINDRA GUJARAT TRACTOR LTD,G 453 REGULAR,2000,1,1,334,7178,1
MAHINDRA GUJARAT TRACTOR LTD,MG 405 E,2000,1,1,334,7177,1
MAHINDRA GUJARAT TRACTOR LTD,S 60,2320,1,1,334,16379,1
MAHINDRA GUJARAT TRACTOR LTD,HWD 50 1A,2000,1,1,334,7180,1
MAHINDRA GUJARAT TRACTOR LTD,S 30,2000,1,1,334,11710,1
MAHINDRA GUJARAT TRACTOR LTD,MG 353,2000,1,1,334,6400,1
MAHINDRA GUJARAT TRACTOR LTD,HWD 50 2A,2000,1,1,334,7181,1
MAHINDRA GUJARAT TRACTOR LTD,MG 804,2000,1,1,334,6404,1
MAHINDRA GUJARAT TRACTOR LTD,MG 312,2000,1,1,334,6398,1
MAHINDRA GUJARAT TRACTOR LTD,G 614 1A,2000,1,1,334,7183,1
MAHINDRA & MAHINDRA,555 DI,1,1,1,331,17426,1
MAHINDRA & MAHINDRA,265 DI NBP,2000,1,1,331,8530,1
MAHINDRA & MAHINDRA,575 DI BHOOMIPUTRA,2000,1,1,331,6390,1
MAHINDRA & MAHINDRA,JEEP,2000,4,4,331,10028,0
MAHINDRA & MAHINDRA,MAXXIMO CASH VAN,1,2,2,331,16126,1
MAHINDRA & MAHINDRA,BOLERO CAMPER EURO III,2000,5,5,331,9164,0
MAHINDRA & MAHINDRA,JEEP CASH VAN,2523,5,5,331,13827,1
MAHINDRA & MAHINDRA,MAXI CASH VAN,2959,5,5,331,13826,1
GODREJ & BOYCE MFG CO.,GX 250 D,2000,1,1,316,12865,1
MAHINDRA & MAHINDRA,275 DLX,1,1,1,331,16972,1
GOTTWALD,AMK 126/63,1,1,1,,12067,1
GODREJ & BOYCE MFG CO.,GX 300 D FORK LIFT,2000,2,2,316,5042,1
GROVE,TM-3000,5853,1,1,374,14226,1
MAHINDRA GUJARAT TRACTOR LTD,SHAKTIMAAN 40,1,1,1,334,15980,1
GROVE,TM 785,1,1,1,374,11377,1
GOTTWALD,AMK-85,5200,2,2,,11060,0
GURU NAANK AGRI ENGG INDUSTRIES,BALKAR 654,2000,2,2,267,10064,1
GOTTWALD,TMK 65-23 CRANE,1,2,2,,15595,1
GAMZEN PLAST PVT LTD,SKID STEER LOADER,1,2,2,239,10609,1
MAHINDRA & MAHINDRA (SWARAJ),855 FE HARVESTOR,1,1,1,,16552,1
MAHINDRA & MAHINDRA,EARTH MASTER,1,1,1,331,16217,1
GROVE,TMS 300 LP CRANE,2000,2,2,374,12915,1
GREAVES COTTON LTD.,BOMAG PNEUMATIC TYRED ROLLER,2000,2,2,317,6762,1
GREAVES COTTON LTD.,LIGHT TANDEM VIBRATORY ROLLER BW 120 AD-3,2000,2,2,317,15636,1
MAHINDRA & MAHINDRA,MARSHAL 2000 DI 4WD,2523,4,4,331,10024,0
MARUTI,VERSA STD AMBULANCE,1300,5,5,220,11156,1
MAXMECH EQUIPMENTS,MWMP 200 OF 200 TPH,1,1,1,230,12178,1
GURU NAANK AGRI ENGG INDUSTRIES,B 525,1,1,1,267,10708,1
GROVE,RT 625 CRANE,2000,2,2,374,13360,0
MAHINDRA & MAHINDRA,LOADKING FIRE FIGHTER,1,3,3,331,15780,1
MAHINDRA & MAHINDRA,MAXX,2523,6,6,331,11428,1
MAHINDRA & MAHINDRA,BOLERO CAMPER WITH DRILLING PIPE CLEARING MACHINE,2000,3,3,331,13229,1
O & K GERMANY,RH 30,1,1,1,,14580,1
MAHINDRA NAVISTAR,MN 25 TRANSIT MIXTURE,1,3,3,,16974,1
MAHINDRA GUJARAT TRACTOR LTD,MG 230,1,1,1,334,11250,1
MAHINDRA & MAHINDRA,275 DI,2000,1,1,331,6586,1810
MAHINDRA & MAHINDRA,MAXIMO LEDDER VAN,1,2,2,331,17075,1800
MAHINDRA & MAHINDRA (SWARAJ),SWARAJ 825,1,1,1,,16957,1
MAHINDRA & MAHINDRA,235 DI,2000,1,1,331,6588,1810
MAHINDRA & MAHINDRA,265 DI SARPANCH,2000,1,1,331,6385,1810
NINGBO RUYI JOINT STOCK CO LTD,FD 35,2000,2,2,,11963,1
OMEGA,PC 14000,1,2,2,337,10441,1
P&H CRANE,650 TC,1,1,1,247,12387,1
P&H CRANE,790 MOBILE CRANE,1,2,2,247,12133,1
PREET AGRO INDUSTRIES,400 COMBINE HARVESTOR,2000,1,1,338,13566,0
PETTIBONE,CARY LIFT 304,1,2,2,,11508,1
PUNJAB TRACTORS LIMITED (SWARAJ),FD 20/25 FORKLIFT,2000,2,2,340,6918,1
PRINCE AGRO WORKS,PRINCE 930,3500,2,2,,11661,5000
MAHINDRA & MAHINDRA,275 WHEEL LOADER,1,1,1,331,17073,1
GREAVES COTTON LTD.,212 BOMAG BW,2000,1,1,317,8852,1
GROVE,TMS 375 HYDRAULIC,2000,2,2,374,8384,1
GROVE,AT 990,1,2,2,374,16705,1
GROVE,GROVE 750,1,1,1,374,16686,1
GUJARAT APOLLO EQUIPMENT LTD,BG 220,1,1,1,296,15917,1
GROVE,TM 275,1,2,2,374,16328,1
GODREJ & BOYCE MFG CO.,10 TON FORK LIFT,1,1,1,316,16212,1
GODREJ & BOYCE MFG CO.,G 800 D,2000,1,1,316,14024,0
GODREJ & BOYCE MFG CO.,G 1200 D,1,1,1,316,16646,1
GROVE,AT 885,1,2,2,374,16283,1
MAXMECH EQUIPMENTS,NWMP 120 OF 120,2000,1,1,230,8999,1
GODREJ & BOYCE MFG CO.,G 1000 D,1,1,1,316,10682,1
MAHINDRA & MAHINDRA,TOURISTER AMBULANCE,2523,5,5,331,8510,0
GROVE,TM 600,3595,2,2,374,16320,1
GOTTWALD,AMK 75,5883,2,2,,13977,0
GROVE,TM 865,5883,2,2,374,13979,0
MAHINDRA & MAHINDRA,950 HEARSES,1995,3,3,331,14054,1
MAHINDRA & MAHINDRA,605 ARJUN LOADER,2595,1,1,331,14065,1
MAHINDRA & MAHINDRA,MARSHAL 2000 DI 4WD SERVICE VAN,1,8,8,331,11882,0
GROVE,TM 870 E CRANE,2000,1,1,374,13285,0
GMBH LTD,70 W,1,1,1,,12125,1
GROVE,TM 1075,5853,1,1,374,12021,1
MAHINDRA & MAHINDRA,MAXX CRANE,2523,2,2,331,13996,0
MAHINDRA & MAHINDRA,ARJUN 605 DOZER,1,1,1,331,16159,1
NATIONAL TRACTOR,635 DI,1,1,1,,12155,1
NEW HOLLAND,3037 AGRICULTURAL TRACTOR,2000,1,1,335,13299,0
NEW HOLLAND,FORD 3070,2365,1,1,335,10512,1
NEW HOLLAND,NH 3230,2000,1,1,335,6411,1
NEW HOLLAND,PREET 5049,2000,1,1,335,6635,1
NEW HOLLAND,NH 3630,2000,1,1,335,6415,1
NEW HOLLAND,NH 3032,2000,1,1,335,7962,1
NEW HOLLAND,JOHN DEREE 5103S,1500,1,1,335,6633,1
NEW HOLLAND,NH 4510,1,1,1,335,14460,1
NILFISK,SR 1550 CD ROAD SWEEPING MACHINE,1,1,1,,14576,1
NEW HOLLAND,S 2216,2000,2,2,335,8377,1
JOHN DEERE,5310 WITH LOADER,1,1,1,277,14503,1
JCB INDIA LIMITED,LIFTALL 1202,1,1,1,326,15898,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 744 FE,2000,1,1,340,7596,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 726,2000,1,1,340,11964,1
PUNJAB TRACTORS LIMITED (SWARAJ),SARTAJ TRACTOR,1,1,1,340,15904,1
MAN,CLA 49.280 REFUELLER,1,2,2,436,14166,1
PINQUELI,CRANE,5883,3,3,,13846,70000
P&H CRANE,955 CRANE,1,2,2,247,15961,1
P&H CRANE,M 320 T,1,2,2,247,11357,1
PUNJAB TRACTORS LIMITED (SWARAJ),FD 15 FORKLIFT,2000,2,2,340,6917,1
PREET AGRO INDUSTRIES,987 COMBINE HARVESTOR,2000,2,2,338,13126,1
P&H CRANE,5040 CRAWLER CRANE,2000,1,1,247,13371,0
PIAGGIO,APE 1.0 TON SEWER JETTING MACHINE,345,2,2,,11318,1
JOHN DEERE,5310 S EXCAVATOR,1,1,1,277,14504,1
JOHN DEERE,753 GL HARVESTOR,1,1,1,277,14508,1
JCB INDIA LIMITED,JS-200,2000,2,2,326,8592,1
JCB INDIA LIMITED,JS 210 TRACKED EXCAVATOR,2000,2,2,326,4986,1
JCB INDIA LIMITED,JS 20 G,1,3,3,326,11316,0
NEW HOLLAND,3630 TX,2000,1,1,335,6418,1
NEW HOLLAND,NH 5630,2000,1,1,335,11356,1
PREMIER LTD,SIGMA.,1995,6,6,,16912,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 855 DLX,2000,1,1,340,6645,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ  724  FE,2000,1,1,340,6644,1
PUNJAB TRACTORS LIMITED (SWARAJ),724 ORCHARD,2000,1,1,340,13525,0
MANITOWOC,2900 T CRANE,3598,1,1,,13209,1
MALKIT AGRO INDUSTRIES,MALKIT 897 HARVESTOR,2000,2,2,,13130,1
P&H CRANE,435 TC,5853,2,2,247,11548,25000
PPM TEREX CRANES,680 ATT CRANE,5883,1,1,305,13471,0
PPM TEREX CRANES,380 ATT CRANE,5883,2,2,305,14025,0
P&H CRANE,5150 CRANE,1,2,2,247,14148,1
MERCEDES BENZ,ACTORS 4841 K FIRE FIGHTER,3595,6,6,452,16372,48000
JCB INDIA LIMITED,JCB JS 130 EXCAVATOR,2000,2,2,326,5268,1
JEMS,JEMS STATIC ROLLER,1,2,2,,10571,1
JCB INDIA LIMITED,3D EXCAVATOR LOADER,2000,1,1,326,7810,6990
JOHN DEERE,5055 WHEEL LOADER,1,1,1,277,16961,1
MANKU AGRO TECH PVT LTD,VISHAL 435 COMBINE HARVESTOR,1,1,1,,13568,0
MASSEY FERGUSON,MF 7250 DI,2000,1,1,376,13779,0
MAN,CLA 25.280 CONCRETE PUMP,1,2,2,436,16718,1
MITSHUBISHI,MG 230 MOTOR GRADER,1,1,1,423,12604,1
MARUTI,EECO AMBULANCE,1,5,5,220,15728,1
MERCEDES BENZ,3341 FIRE FIGHTER,2000,6,6,452,13040,1
JOHN DEERE,5055E,1,1,1,277,17201,1
JOHN DEERE,5075E,1,1,1,277,17354,1
JOHN DEERE,1026R,1,1,1,277,16918,1
JOHN DEERE,5041 TRACTOR,1,1,1,277,15598,1
JOHN DEERE,5103 TRACTOR,1,1,1,277,14500,1
JOHN DEERE,5045D TRACTOR,1,1,1,277,16501,1
JOHN DEERE,5055 BACK HOE LOADER,1,1,1,277,17070,1
JOHN DEERE,330 HARVESTOR,1,1,1,277,17288,1
JOHN DEERE,3520 HARVESTOR,1,1,1,277,17013,1
JCB INDIA LIMITED,LIFTALL 1553,1,1,1,326,17083,1
JOHN DEERE,5104 HD,2000,1,1,277,10280,1
JOHN DEERE,5530 TRACTOR,1,1,1,277,14506,1
JOHN DEERE,5204 HARVESTOR,2000,1,1,277,16953,1
MASSEY FERGUSON,MF 1030 DI,1,1,1,376,15342,1
NEW HOLLAND,NH 3030,2000,1,1,335,6406,1
NEW HOLLAND,PREET 4049,2000,1,1,335,6634,1
NEW HOLLAND,NH 3600,2000,1,1,335,6413,1
NEW HOLLAND,NH 4010,1,1,1,335,14262,1
NEW HOLLAND,NH 5500,2000,1,1,335,6416,1
NEW HOLLAND,4710 TRACTOR,1,1,1,335,16026,1
NEW HOLLAND,3630 WHEEL LOADER,1,1,1,335,16940,1
P&H CRANE,670 WLC,1,1,1,247,11682,1
P&H CRANE,655 BLC,1,1,1,247,12361,1
NEW HOLLAND,5500 BACK HOE LOADER,1,1,1,335,16601,1
P&H CRANE,5170 CRANE,1,2,2,247,16275,1
P&H CRANE,890 CRANE,1,1,1,247,15893,1
P&H CRANE,T500 CRANE,2000,2,2,247,10780,1
P&H CRANE,T 400,1,2,2,247,11376,1
P&H CRANE,325 CRAWLER CRANE,2000,1,1,247,13036,1
P&H CRANE,T450 CRANE,2000,3,3,247,7992,1
PUNJAB TRACTORS LIMITED,PUNJAB 930 COMBINE HARVESTOR,2000,2,2,339,13139,1
MATHRU ENGINEERING WORKS,HARVESTOR COMBINE 4600,2000,2,2,404,7604,1
P&H CRANE,PH 9125,1,2,2,247,11908,1
PPM TEREX CRANES,CONTAINER LIFTER TFC 45,2000,2,2,305,7448,1
PUNJAB TRACTORS LIMITED (SWARAJ),HEARSES CAR,1,4,4,340,11440,1
MANJIT AGRO WORKS,MANJIT 986,1,2,2,,12142,1
MAN,CLA 25.280 TRANSIT MIXER,1,2,2,436,15929,1
P&H CRANE,300 CRANE,1,1,1,247,12738,1
MAN,CLA 25.280 CRANES,1,3,3,436,16645,1
MAN,CLA 25.220 FIRE BRIGADE,1,2,2,436,16477,1
MERCEDES BENZ,3346 -CHASIS,2000,2,2,452,8890,1
MARUTI,OMNI AMBULANCE,796,5,5,220,7469,1
MATHIEU YNO,AZURA,3595,3,3,,14058,1
MASSEY FERGUSON,MF 281,2000,1,1,376,8574,1
MASSEY FERGUSON,241 D1,2000,1,1,376,9268,1
MASSEY FERGUSON,MF 5245 SARJA TRACTOR,2000,1,1,376,6179,1
MASSEY FERGUSON,1045 DI,1,1,1,376,16188,1
MASSEY FERGUSON,241 EAGLE,2000,1,1,376,8291,1
MASSEY FERGUSON,MF 9500,1,1,1,376,16707,1
MAN,CLA 16.220 ROAD SWEEPERS,6871,3,3,436,17121,16200
MITSHUBISHI,HA 40 W,2000,1,1,423,13497,0
MALATI MACHINES PRIVATE LIMITED,CPCD30,1,1,1,,16606,1
NIPPUN LTD,CRANE,5853,1,1,,11916,1
MONITOWOC,3900 CRAWLER CRANE,1,1,1,,15672,1
PPM TEREX CRANES,SUPER STACKER TFC 4512,2000,2,2,305,8798,1
P&H CRANE,P-200,2000,2,2,247,6598,1
P&H CRANE,P AND H 550,1,2,2,247,9246,0
POCLAIN,CK72 EXCAVATOR,2000,2,2,360,4945,1
MITSHUBISHI,MR 20,2000,1,1,423,13690,0
PRIYAA CRANES,P 20 TON HYDRAULIC CRANE,2000,1,1,224,7627,20000
P&H CRANE,670 TC,1,2,2,247,15364,1
PREET AGRO INDUSTRIES,PREET 4049,2000,1,1,338,6422,1
PUNJAB TRACTORS LIMITED,744 DL,2000,1,1,339,7151,1
PUNJAB TRACTORS LIMITED (SWARAJ),SWARAJ 939 FE,2000,1,1,340,7603,1
P&H CRANE,800 XL,1,1,1,247,15793,1
